płeć,wiek,kierunek_wykształcenia,poziom_wykształcenia,Źródło,Student,Trans
Male,30-34,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Female,22-24,"A business discipline (accounting, economics, finance, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,35-39,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,18-21,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Female,30-34,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,22-24,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Doctoral degree,Kaggle 2018,NA,NA
Male,40-44,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,30-34,NA,No formal education past high school,Kaggle 2018,NA,NA
Male,35-39,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,35-39,Physics or astronomy,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,22-24,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,22-24,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,25-29,"A business discipline (accounting, economics, finance, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Social sciences (anthropology, psychology, sociology, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Professional degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Prefer not to say,25-29,Mathematics or statistics,Bachelor’s degree,Kaggle 2018,NA,NA
Female,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,25-29,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Bachelor’s degree,Kaggle 2018,NA,NA
Male,22-24,Physics or astronomy,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Doctoral degree,Kaggle 2018,NA,NA
Male,30-34,Engineering (non-computer focused),Master’s degree,Kaggle 2018,NA,NA
Male,25-29,NA,NA,Kaggle 2018,NA,NA
Male,30-34,Physics or astronomy,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Female,22-24,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
Male,30-34,Other,Master’s degree,Kaggle 2018,NA,NA
Female,40-44,Mathematics or statistics,Master’s degree,Kaggle 2018,NA,NA
Male,25-29,"Computer science (software engineering, etc.)",Master’s degree,Kaggle 2018,NA,NA
